h,Coherence
0.01,1.00029155226865
0.11,1.0235154978216228
0.21,1.074201442326472
0.31,1.1467529093704463
0.41,1.2381610641235279
0.51,1.3464257935614623
0.61,1.4701143954067362
0.71,1.608211170923791
0.81,1.7599685874429145
0.91,1.9249657257966566
1.01,2.103081740442835
1.11,2.2945214652736556
1.21,2.499928876003371
1.31,2.7203809840877624
1.41,2.9572927986101134
1.51,3.21256162479258
1.61,3.488150272041253
1.71,3.7861040358391116
1.81,4.107406702108862
1.91,4.451581850244559
2.01,4.815719860443324
