h,Coherence
0.01,1.0005183672852362
0.11,1.0418051849361223
0.21,1.1319133277423805
0.31,1.2608868434248983
0.41,1.423366638456944
0.51,1.6158248341912897
0.61,1.835628111841154
0.71,2.0807953054761836
0.81,2.3498693615893833
0.91,2.6417300158743955
1.01,2.9555087407065943
1.11,3.290507985573391
1.21,3.6463409237144386
1.31,4.022856639724881
1.41,4.419771791948271
1.51,4.838000480478441
1.61,5.277348893275472
1.71,5.739890508580861
1.81,6.227793601135078
1.91,6.743577157030634
2.01,7.293709186303057
