h,Coherence
0.01,1.000866940771634
0.11,1.0653438964887396
0.21,1.2060821071389043
0.31,1.4076775748532682
0.41,1.6615214209886968
0.51,1.9619240766635262
0.61,2.3056537969971207
0.71,2.6889540631921953
0.81,3.109293238807473
0.91,3.565473737303993
1.01,4.055942632926757
1.11,4.5798404660815795
1.21,5.136072597564439
1.31,5.720371253177384
1.41,6.34679120016732
1.51,7.000641949675125
1.61,7.688015690868777
1.71,8.39459921003275
1.81,9.166331011074025
1.91,9.951082414651925
2.01,10.629348621491816
