h,Coherence
0.01,1.0022529574406123
0.11,1.16794372089021
0.21,1.526376153870033
0.31,2.0430387310647413
0.41,2.6940354209106907
0.51,3.4599464920608036
0.61,4.3407241459415005
0.71,5.322177639033373
0.81,6.37929181953909
0.91,7.5385697515349905
1.01,8.81239408346761
1.11,10.131651234861593
1.21,11.57799954069343
1.31,13.033710471884513
1.41,14.679664098073967
1.51,16.361978257350618
1.61,18.34769254232964
1.71,20.26274952420413
1.81,22.295413254932033
1.91,24.528167208851745
2.01,26.69408900292175
