h,Coherence
0.01,1.0017265586808184
0.11,1.128461516233371
0.21,1.4037758680984977
0.31,1.797659375076113
0.41,2.295678484609693
0.51,2.8838919407450194
0.61,3.5596663829041044
0.71,4.306746046221261
0.81,5.127673622181728
0.91,6.025929742149555
1.01,6.9947384892406435
1.11,8.002807221641229
1.21,9.099085737193974
1.31,10.238689834082233
1.41,11.463841316288123
1.51,12.763877984789039
1.61,14.146246366073768
1.71,15.53674538170143
1.81,17.139852959912037
1.91,18.71014724278357
2.01,20.326053097496825
